itemId,fieldId,subjectId,source,overallScore,vignetteQuality,highYieldValue,distractors,correctAnswerExplanation,integrationThinking,overallPolish,platformFit,polishScore,examReady,difficultySuggestion,topIssues,recommendations,tagsSuggestion,testedConcepts
cmpnjhj4z004z1ymxrnqmu4fn,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,7,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z00501ymxfjbk7522,usmle-step-1,anatomy,polished,7.7,9.2,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z00511ymxiuvf1u2m,usmle-step-1,anatomy,polished,7.9,8.2,6,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6/10).,usmle-polished; diagnosis; anatomy,diagnosis; anatomy; diagnosis; anatomy
cmpnjhj4z00521ymxc5v0xrap,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,6.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z00531ymxccxjk76k,usmle-step-1,anatomy,polished,7.6,9,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z00541ymxl53friui,usmle-step-1,anatomy,polished,7.7,10,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z00551ymxf9d2u8r7,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z00561ymxo6xt9pdk,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z00571ymxpfjgzfav,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj5000591ymxtxsxc96o,usmle-step-1,anatomy,polished,7.8,10,4,9.5,9,8,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjts005a1ymxsx85tdbe,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtu005b1ymxfrc4usth,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtu005c1ymxd6bu8sbm,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtu005d1ymxz3jhb9v8,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtu005e1ymxmds5z4xv,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtu005f1ymxy1iz43xs,usmle-step-1,anatomy,polished,7.8,10,4,9.5,9,8,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtu005g1ymxiqc4f1gt,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtv005h1ymxskn3pyn0,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005i1ymx91kwk8g0,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005j1ymx5qla9ti7,usmle-step-1,anatomy,polished,7.5,8.2,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005l1ymx6wnanuwt,usmle-step-1,anatomy,polished,7.8,8.7,4.5,9.5,9,8.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4.5/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtv005o1ymx8ojwxa9j,usmle-step-1,anatomy,polished,7.8,9,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005q1ymxu8zlhwm1,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtv005r1ymx06gbnjpl,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005s1ymx3gjryzfr,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005t1ymxktxdomf7,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005u1ymx358vbo31,usmle-step-1,anatomy,polished,7.7,10,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005v1ymxtwqvtl8o,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtv005w1ymxbjy58rii,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtv005x1ymxeprx2y7u,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,6.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv005y1ymxhipocu46,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
